Company Name,Symbol,Sector
Adani Ports,ADANIPORTS.NS,Infrastructure
Asian Paints Ltd,ASIANPAINT.NS,Consumer Goods
Axis Bank,AXISBANK.NS,Banking
Bajaj Auto,BAJAJ-AUTO.NS,Automobile
Bajaj Finance,BAJFINANCE.NS,Financial Services
Bajaj Finserv,BAJAJFINSV.NS,Financial Services
Bharti Airtel,BHARTIARTL.NS,Telecommunication
Bharti Infratel Ltd.,INFRATEL.NS,Telecommunication
BPCL,BPCL.NS,Energy - Oil & Gas
Cipla,CIPLA.NS,Pharmaceuticals
Coal India,COALINDIA.NS,Energy & Mining
Dr Reddy Lab,DRREDDY.NS,Pharmaceuticals
Eicher Motors,EICHERMOT.NS,Automobile
GAIL,GAIL.NS,Energy - Oil & Gas
Grasim Industries,GRASIM.NS,Cement
HCL Technologies,HCLTECH.NS,Information Technology
HDFC,HDFC.NS,Financial Services
HDFC Bank,HDFCBANK.NS,Banking
Hero MotoCorp,HEROMOTOCO.NS,Automobile
Hindalco Industries,HINDALCO.NS,Metals
Hindustan Unilever,HINDUNILVR.NS,Consumer Goods
Britannia Industries,BRITANNIA.NS,Consumer Goods
ICICI Bank,ICICIBANK.NS,Banking
IndusInd Bank,INDUSINDBK.NS,Banking
Infosys,INFY.NS,Information Technology
IOC,IOC.NS,Energy - Oil & Gas
ITC Limited,ITC.NS,Consumer Goods
JSW Steel,JSWSTEEL.NS,Metals
Kotak Mahindra Bank,KOTAKBANK.NS,Banking
Larsen & Toubro,LT.NS,Construction
Mahindra & Mahindra,M&M.NS,Automobile
Maruti Suzuki,MARUTI.NS,Automobile
Nestle India Ltd,NESTLEIND.NS,Food Processing
NTPC Limited,NTPC.NS,Energy - Power
ONGC,ONGC.NS,Energy - Oil & Gas
PowerGrid Corporation of India,POWERGRID.NS,Energy - Power
Reliance Industries,RELIANCE.NS,Energy - Oil & Gas
State Bank of India,SBIN.NS,Banking
Sun Pharmaceutical,SUNPHARMA.NS,Pharmaceuticals
Tata Consultancy Services,TCS.NS,Information Technology
Tata Motors,TATAMOTORS.NS,Automobile
Tata Steel,TATASTEEL.NS,Metals
Tech Mahindra,TECHM.NS,Information Technology
Titan Company,TITAN.NS,Consumer Goods
UltraTech Cement,ULTRACEMCO.NS,Cement
United Phosphorus Limited,UPL.NS,Chemicals
Vedanta,VEDL.NS,Metals
Wipro,WIPRO.NS,Information Technology
Shree Cement,SHREECEM.NS,Cement
Zee Entertainment Enterprises,ZEEL.NS,Media & Entertainment
